timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1541874450565055,-4,-2,-1,4,1,-1,-3,-18
1541874450565055,12,2,-2,0,0,-1,5,16
1541874450587091,3,-2,-2,-1,0,2,3,-10
1541874450587091,-8,-5,-3,-3,-2,-4,-10,2
1541874450588073,-1,4,2,0,0,-1,2,-19
1541874450588073,3,2,-1,0,-1,1,5,11
1541874450602102,0,0,0,-3,-3,0,-2,-2
1541874450602102,-10,-5,-3,-1,-1,-1,-3,-32
1541874450603096,10,5,1,0,0,0,-2,0
1541874450603096,-6,-5,-1,0,0,1,0,-10
1541874450624111,0,-1,-3,-3,-4,-2,0,-2
1541874450624111,4,0,-1,-2,-4,-4,-3,0
1541874450625102,-3,-1,-1,2,1,-2,-1,-6
1541874450625102,6,4,3,1,-1,2,4,10
1541874450647139,5,1,2,1,1,1,6,2
1541874450647139,-8,-2,1,1,0,0,-1,-10
1541874450648129,7,6,3,1,1,1,2,-4
1541874450648129,-7,-3,-1,-3,-4,-5,-8,-10
1541874450661140,7,1,1,2,1,2,1,1
1541874450661140,3,2,1,-1,-1,0,2,4
1541874450669139,-11,-7,-3,-3,-5,-5,-11,-32
1541874450669139,-4,-6,-4,-5,-6,-6,-8,4
1541874450692154,0,1,-1,0,-3,0,-1,-15
1541874450692154,2,0,0,0,-3,-3,-3,5
1541874450693154,0,-1,1,-1,-1,-1,1,4
1541874450693154,4,-1,-4,-2,0,-4,0,0
1541874450715176,-2,-3,-3,-1,-1,-2,-3,10
1541874450715176,0,1,1,0,1,0,-1,-16
1541874450716227,-1,-2,-1,-1,0,0,2,3
1541874450716227,-1,-2,1,0,4,3,5,2
1541874450721232,-4,-4,-3,-1,-1,0,-3,6
1541874450721232,-1,0,0,-2,0,-1,1,9
1541874450729220,-1,-2,-2,1,1,1,-1,2
1541874450729220,-2,1,-1,0,-1,-1,-1,-9
1541874450744214,-7,-3,-6,-2,0,-4,-2,-3
1541874450744214,-3,-3,-1,0,0,1,0,-3
1541874450745197,0,1,-3,-3,-1,0,2,9
1541874450745197,2,1,0,-2,0,2,3,18
1541874450767234,-4,-3,-1,-1,2,0,0,-12
1541874450767234,-6,0,-1,15,2,1,-1,-17
1541874450768215,-1,0,-4,-26,-2,1,0,19
1541874450768215,-5,-4,-3,-8,2,-1,-4,-17
1541874450790250,-3,-2,-1,18,2,-1,2,13
1541874450790250,1,-1,0,-7,0,-1,-1,24
1541874450791246,-3,1,1,30,3,0,1,-39
1541874450791246,-1,0,-3,-14,-6,-4,-1,12
