timestamp,x,y,z
1541872977114567,4.3125,-10,-3.375
1541872977135595,4.6875,-10.1875,-4.5625
1541872977156621,5.5,-11.25,-4.25
1541872977171633,5.0625,-12.25,-3.875
1541872977189639,6.0625,-12.25,-3.375
1541872977211667,5.25,-13.125,-2.6875
1541872977243676,4.125,-14.875,-1.625
1541872977262709,4.5,-16.0625,-0.9375
1541872977285764,4.8125,-18.25,-0.75
1541872977316774,4.875,-22.375,-0.375
1541872977318737,4.5625,-27.1875,0.875
1541872977339771,5.0625,-26.375,0.5625
1541872977414834,4.8125,-22.4375,0.4375
1541872977435886,2.625,-20.125,1
1541872977564977,2.0625,-14.8125,-1.1875
1541872977566955,1.5625,-13.0625,-2.4375
1541872977580952,4.3125,-8.0625,-5.6875
1541872977615999,6.5,-3.9375,0.5625
1541872977708075,5.75,-2.9375,1
1541872977782135,6.75,-3.5,1.125
1541872977850173,4.875,-7.8125,3.5
1541872977858195,4.25,-9.25,1.375
1541872977916246,3.125,-13.0625,3.125
1541872977999302,2.9375,-18.375,4.1875
1541872978065370,1.875,-22.8125,5.8125
1541872978173450,4.1875,-5.5625,0.6875
1541872978246519,4.6875,6.125,-1.5625
1541872978323584,4.6875,5.0625,-1.875
1541872978376621,4.625,1.1875,0.1875
1541872978398626,4.5625,-2.5625,2.125
1541872978450686,4.25,-9,3.75
1541872978451673,4.3125,-11.3125,4.625
1541872978507733,4.625,-15.8125,5.375
1541872978522747,2.4375,-9.4375,2
1541872978548768,1.875,-3.875,1.125
1541872978561779,5.0625,-1.4375,0.1875
1541872978584778,5.375,-3.5,1.375
1541872978599807,3.625,-3.25,1.1875
1541872978637829,1.9375,-3.9375,2.1875
1541872978671869,1.6875,-5.75,3.3125
1541872978713904,2.0625,-7.0625,4.625
1541872978749934,1.4375,-8.125,5.125
1541872978751917,-1.75,-7.25,1
1541872978765946,-2.5625,-4.1875,0.8125
1541872978786964,-2.4375,-4.125,-0.25
1541872978789962,-2.4375,-7.5625,-0.375
1541872978840008,-1.5625,-9.4375,0.8125
1541872978841990,0.25,-9.1875,1.1875
1541872978863009,0.25,-8.6875,2.4375
1541872978884032,0.5625,-8.1875,4.3125
1541872978915069,1.4375,-7.4375,5.375
1541872978937123,0.5625,-7.5625,6.0625
1541872978940088,2.375,-8.5625,5.125
1541872978991113,1.75,-9.0625,4.1875
1541872979013150,1.375,-5.5625,2.25
1541872979085210,1.25,-4.375,2.1875
1541872979141257,2.6875,-5.4375,2.3125
1541872979163276,1.125,-6.9375,2.5
1541872979236369,-0.625,-20.5,4.5
1541872979290359,1.0625,-11.3125,1.875
1541872979310395,-0.4375,-5.8125,-0.1875
1541872979418465,2.4375,-11.1875,2.0625
1541872979419466,4.5,-11.0625,4.375
1541872979441504,3.25,-10.9375,4
1541872979514601,4.5,-2.125,-0.375
1541872979516557,4.1875,-3.75,0.4375
1541872979567599,4.9375,-5.3125,-0.4375
1541872979569609,3.3125,-10,-1.4375
1541872979591666,2.9375,-13.0625,-0.5625
1541872979592610,2.6875,-15.125,0
1541872979618652,1.25,-18.4375,0.6875
1541872979620653,-1.5625,-21.75,1.375
1541872979634673,-2.75,-26.9375,3.1875
1541872979657663,-2.4375,-31.75,4.25
1541872979671674,-2.8125,-34.5625,5.0625
1541872979692746,-4.3125,-35.0625,4.9375
1541872979708718,-4.1875,-36,4.875
1541872979747752,-4.375,-35.625,5.4375
1541872979768774,-5.25,-35.6875,5.0625
1541872979771776,-3.25,-38.5625,6.75
1541872979791793,-5.3125,-43.25,9.6875
1541872979890874,-5.0625,-43.625,11
1541872979919898,-5.6875,-42.375,10.75
1541872979942897,-7,-43.4375,8.375
1541872979986953,-5.8125,-45.375,10.5
1541872979989951,-3.3125,-46.375,11.625
1541872979995953,-2.9375,-44.5625,11.3125
1541872979999963,-4.6875,-43.6875,10.8125
1541872980014967,-9.6875,-44.25,12.375
1541872980037995,-15.3125,-44.5625,16.125
1541872980053995,-19.9375,-42.5625,19.3125
